PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29050392","Clinical spectrum and genotype-phenotype associations of KCNA2-related encephalopathies","Masnada S, Hedrich UBS, Gardella E, Schubert J, Kaiwar C, Klee EW, Lanpher BC, Gavrilova RH, Synofzik M, Bast T, Gorman K, King MD, Allen NM, Conroy J, Ben Zeev B, Tzadok M, Korff C, Dubois F, Ramsey K, Narayanan V, Serratosa JM, Giraldez BG, Helbig I, Marsh E, O'Brien M, Bergqvist CA, Binelli A, Porter B, Zaeyen E, Horovitz DD, Wolff M, Marjanovic D, Caglayan HS, Arslan M, Pena SDJ, Sisodiya SM, Balestrini S, Syrbe S, Veggiotti P, Lemke JR, Møller RS, Lerche H, Rubboli G.","Brain. 2017 Sep 1;140(9):2337-2354. doi: 10.1093/brain/awx184.","Masnada S","Brain","2017","2017/10/21","","","10.1093/brain/awx184"
"29466837","Mutations in SCN3A cause early infantile epileptic encephalopathy","Zaman T, Helbig I, Božović IB, DeBrosse SD, Bergqvist AC, Wallis K, Medne L, Maver A, Peterlin B, Helbig KL, Zhang X, Goldberg EM.","Ann Neurol. 2018 Apr;83(4):703-717. doi: 10.1002/ana.25188. Epub 2018 Mar 30.","Zaman T","Ann Neurol","2018","2018/02/22","PMC5912987","NIHMS945030","10.1002/ana.25188"
"33113364","Reduced GABAergic Neuron Excitability, Altered Synaptic Connectivity, and Seizures in a KCNT1 Gain-of-Function Mouse Model of Childhood Epilepsy","Shore AN, Colombo S, Tobin WF, Petri S, Cullen ER, Dominguez S, Bostick CD, Beaumont MA, Williams D, Khodagholy D, Yang M, Lutz CM, Peng Y, Gelinas JN, Goldstein DB, Boland MJ, Frankel WN, Weston MC.","Cell Rep. 2020 Oct 27;33(4):108303. doi: 10.1016/j.celrep.2020.108303.","Shore AN","Cell Rep","2020","2020/10/28","PMC7712469","NIHMS1642113","10.1016/j.celrep.2020.108303"
"30351409","HCN1 mutation spectrum: from neonatal epileptic encephalopathy to benign generalized epilepsy and beyond","Marini C, Porro A, Rastetter A, Dalle C, Rivolta I, Bauer D, Oegema R, Nava C, Parrini E, Mei D, Mercer C, Dhamija R, Chambers C, Coubes C, Thévenon J, Kuentz P, Julia S, Pasquier L, Dubourg C, Carré W, Rosati A, Melani F, Pisano T, Giardino M, Innes AM, Alembik Y, Scheidecker S, Santos M, Figueiroa S, Garrido C, Fusco C, Frattini D, Spagnoli C, Binda A, Granata T, Ragona F, Freri E, Franceschetti S, Canafoglia L, Castellotti B, Gellera C, Milanesi R, Mancardi MM, Clark DR, Kok F, Helbig KL, Ichikawa S, Sadler L, Neupauerová J, Laššuthova P, Šterbová K, Laridon A, Brilstra E, Koeleman B, Lemke JR, Zara F, Striano P, Soblet J, Smits G, Deconinck N, Barbuti A, DiFrancesco D, LeGuern E, Guerrini R, Santoro B, Hamacher K, Thiel G, Moroni A, DiFrancesco JC, Depienne C.","Brain. 2018 Nov 1;141(11):3160-3178. doi: 10.1093/brain/awy263.","Marini C","Brain","2018","2018/10/24","","","10.1093/brain/awy263"
"30343943","De Novo Pathogenic Variants in CACNA1E Cause Developmental and Epileptic Encephalopathy with Contractures, Macrocephaly, and Dyskinesias","Helbig KL, Lauerer RJ, Bahr JC, Souza IA, Myers CT, Uysal B, Schwarz N, Gandini MA, Huang S, Keren B, Mignot C, Afenjar A, Billette de Villemeur T, Héron D, Nava C, Valence S, Buratti J, Fagerberg CR, Soerensen KP, Kibaek M, Kamsteeg EJ, Koolen DA, Gunning B, Schelhaas HJ, Kruer MC, Fox J, Bakhtiari S, Jarrar R, Padilla-Lopez S, Lindstrom K, Jin SC, Zeng X, Bilguvar K, Papavasileiou A, Xing Q, Zhu C, Boysen K, Vairo F, Lanpher BC, Klee EW, Tillema JM, Payne ET, Cousin MA, Kruisselbrink TM, Wick MJ, Baker J, Haan E, Smith N, Sadeghpour A, Davis EE, Katsanis N; Task Force for Neonatal Genomics, Corbett MA, MacLennan AH, Gecz J, Biskup S, Goldmann E, Rodan LH, Kichula E, Segal E, Jackson KE, Asamoah A, Dimmock D, McCarrier J, Botto LD, Filloux F, Tvrdik T, Cascino GD, Klingerman S, Neumann C, Wang R, Jacobsen JC, Nolan MA, Snell RG, Lehnert K, Sadleir LG, Anderlid BM, Kvarnung M, Guerrini R, Friez MJ, Lyons MJ, Leonhard J, Kringlen G, Casas K, El Achkar CM, Smith LA, Rotenberg A, Poduri A, Sanchis-Juan A, Carss KJ, Rankin J, Zeman A, Raymond FL, Blyth M, Kerr B, Ruiz K, Urquhart J, Hughes I, Banka S; Deciphering Developmental Disorders Study, et al.","Am J Hum Genet. 2018 Nov 1;103(5):666-678. doi: 10.1016/j.ajhg.2018.09.006. Epub 2018 Oct 18.","Helbig KL","Am J Hum Genet","2018","2018/10/23","PMC6216110","","10.1016/j.ajhg.2018.09.006"
"31031012","Mutations in ACTL6B Cause Neurodevelopmental Deficits and Epilepsy and Lead to Loss of Dendrites in Human Neurons","Bell S, Rousseau J, Peng H, Aouabed Z, Priam P, Theroux JF, Jefri M, Tanti A, Wu H, Kolobova I, Silviera H, Manzano-Vargas K, Ehresmann S, Hamdan FF, Hettige N, Zhang X, Antonyan L, Nassif C, Ghaloul-Gonzalez L, Sebastian J, Vockley J, Begtrup AG, Wentzensen IM, Crunk A, Nicholls RD, Herman KC, Deignan JL, Al-Hertani W, Efthymiou S, Salpietro V, Miyake N, Makita Y, Matsumoto N, Østern R, Houge G, Hafström M, Fassi E, Houlden H, Klein Wassink-Ruiter JS, Nelson D, Goldstein A, Dabir T, van Gils J, Bourgeron T, Delorme R, Cooper GM, Martinez JE, Finnila CR, Carmant L, Lortie A, Oegema R, van Gassen K, Mehta SG, Huhle D, Abou Jamra R, Martin S, Brunner HG, Lindhout D, Au M, Graham JM Jr, Coubes C, Turecki G, Gravel S, Mechawar N, Rossignol E, Michaud JL, Lessard J, Ernst C, Campeau PM.","Am J Hum Genet. 2019 May 2;104(5):815-834. doi: 10.1016/j.ajhg.2019.03.022. Epub 2019 Apr 25.","Bell S","Am J Hum Genet","2019","2019/04/30","PMC6507050","","10.1016/j.ajhg.2019.03.022"
"29196579","Clinical and molecular characterization of KCNT1-related severe early-onset epilepsy","McTague A, Nair U, Malhotra S, Meyer E, Trump N, Gazina EV, Papandreou A, Ngoh A, Ackermann S, Ambegaonkar G, Appleton R, Desurkar A, Eltze C, Kneen R, Kumar AV, Lascelles K, Montgomery T, Ramesh V, Samanta R, Scott RH, Tan J, Whitehouse W, Poduri A, Scheffer IE, Chong WKK, Cross JH, Topf M, Petrou S, Kurian MA.","Neurology. 2018 Jan 2;90(1):e55-e66. doi: 10.1212/WNL.0000000000004762. Epub 2017 Dec 1.","McTague A","Neurology","2018","2017/12/03","PMC5754647","","10.1212/WNL.0000000000004762"
"31152168","De novo loss-of-function KCNMA1 variants are associated with a new multiple malformation syndrome and a broad spectrum of developmental and neurological phenotypes","Liang L, Li X, Moutton S, Schrier Vergano SA, Cogné B, Saint-Martin A, Hurst ACE, Hu Y, Bodamer O, Thevenon J, Hung CY, Isidor B, Gerard B, Rega A, Nambot S, Lehalle D, Duffourd Y, Thauvin-Robinet C, Faivre L, Bézieau S, Dure LS, Helbling DC, Bick D, Xu C, Chen Q, Mancini GMS, Vitobello A, Wang QK.","Hum Mol Genet. 2019 Sep 1;28(17):2937-2951. doi: 10.1093/hmg/ddz117.","Liang L","Hum Mol Genet","2019","2019/06/02","PMC6735855","","10.1093/hmg/ddz117"
"31468518","Both gain-of-function and loss-of-function de novo CACNA1A mutations cause severe developmental epileptic encephalopathies in the spectrum of Lennox-Gastaut syndrome","Jiang X, Raju PK, D'Avanzo N, Lachance M, Pepin J, Dubeau F, Mitchell WG, Bello-Espinosa LE, Pierson TM, Minassian BA, Lacaille JC, Rossignol E.","Epilepsia. 2019 Sep;60(9):1881-1894. doi: 10.1111/epi.16316. Epub 2019 Aug 29.","Jiang X","Epilepsia","2019","2019/08/31","","","10.1111/epi.16316"
"30361185","Lacosamide for SCN2A-related intractable neonatal and infantile seizures","Flor-Hirsch H, Heyman E, Livneh A, Reish O, Watemberg N, Litmanovits I, Ben Sason Lilli A, Lev D, Lerman Sagie T, Bassan H.","Epileptic Disord. 2018 Oct 1;20(5):440-446. doi: 10.1684/epd.2018.1001.","Flor-Hirsch H","Epileptic Disord","2018","2018/10/27","","","10.1684/epd.2018.1001"
"32090326","Biological concepts in human sodium channel epilepsies and their relevance in clinical practice","Brunklaus A, Du J, Steckler F, Ghanty II, Johannesen KM, Fenger CD, Schorge S, Baez-Nieto D, Wang HR, Allen A, Pan JQ, Lerche H, Heyne H, Symonds JD, Zuberi SM, Sanders S, Sheidley BR, Craiu D, Olson HE, Weckhuysen S, DeJonge P, Helbig I, Van Esch H, Busa T, Milh M, Isidor B, Depienne C, Poduri A, Campbell AJ, Dimidschstein J, Møller RS, Lal D.","Epilepsia. 2020 Mar;61(3):387-399. doi: 10.1111/epi.16438. Epub 2020 Feb 23.","Brunklaus A","Epilepsia","2020","2020/02/25","","","10.1111/epi.16438"
"28973916","Cannabidiol attenuates seizures and social deficits in a mouse model of Dravet syndrome","Kaplan JS, Stella N, Catterall WA, Westenbroek RE.","Proc Natl Acad Sci U S A. 2017 Oct 17;114(42):11229-11234. doi: 10.1073/pnas.1711351114. Epub 2017 Oct 2.","Kaplan JS","Proc Natl Acad Sci U S A","2017","2017/10/05","PMC5651774","","10.1073/pnas.1711351114"
"31943325","Scn8a Antisense Oligonucleotide Is Protective in Mouse Models of SCN8A Encephalopathy and Dravet Syndrome","Lenk GM, Jafar-Nejad P, Hill SF, Huffman LD, Smolen CE, Wagnon JL, Petit H, Yu W, Ziobro J, Bhatia K, Parent J, Giger RJ, Rigo F, Meisler MH.","Ann Neurol. 2020 Mar;87(3):339-346. doi: 10.1002/ana.25676. Epub 2020 Feb 6.","Lenk GM","Ann Neurol","2020","2020/01/17","PMC7064908","","10.1002/ana.25676"
"29358611","Exome-wide analysis of mutational burden in patients with typical and atypical Rolandic epilepsy","Bobbili DR, Lal D, May P, Reinthaler EM, Jabbari K, Thiele H, Nothnagel M, Jurkowski W, Feucht M, Nürnberg P, Lerche H, Zimprich F, Krause R, Neubauer BA, Reinthaler EM, Zimprich F, Feucht M, Steinböck H, Neophytou B, Geldner J, Gruber-Sedlmayr U, Haberlandt E, Ronen GM, Altmüller J, Lal D, Nürnberg P, Sander T, Thiele H, Krause R, May P, Balling R, Lerche H, Neubauer BA; EUROEPINOMICS COGIE Consortium.","Eur J Hum Genet. 2018 Feb;26(2):258-264. doi: 10.1038/s41431-017-0034-x. Epub 2018 Jan 22.","Bobbili DR","Eur J Hum Genet","2018","2018/01/24","PMC5839048","","10.1038/s41431-017-0034-x"
"29708508","Second-hit mosaic mutation in mTORC1 repressor DEPDC5 causes focal cortical dysplasia-associated epilepsy","Ribierre T, Deleuze C, Bacq A, Baldassari S, Marsan E, Chipaux M, Muraca G, Roussel D, Navarro V, Leguern E, Miles R, Baulac S.","J Clin Invest. 2018 Jun 1;128(6):2452-2458. doi: 10.1172/JCI99384. Epub 2018 Apr 30.","Ribierre T","J Clin Invest","2018","2018/05/01","PMC5983335","","10.1172/JCI99384"
"31451536","Estimating the effect size of the 15Q11.2 BP1-BP2 deletion and its contribution to neurodevelopmental symptoms: recommendations for practice","Jønch AE, Douard E, Moreau C, Van Dijck A, Passeggeri M, Kooy F, Puechberty J, Campbell C, Sanlaville D, Lefroy H, Richetin S, Pain A, Geneviève D, Kini U, Le Caignec C, Lespinasse J, Skytte AB, Isidor B, Zweier C, Caberg JH, Delrue MA, Møller RS, Bojesen A, Hjalgrim H, Brasch-Andersen C, Lemyre E, Ousager LB, Jacquemont S; 15q11.2 Working Group.","J Med Genet. 2019 Oct;56(10):701-710. doi: 10.1136/jmedgenet-2018-105879. Epub 2019 Aug 26.","Jønch AE","J Med Genet","2019","2019/08/28","PMC6817694","","10.1136/jmedgenet-2018-105879"
"28669405","Loss-of-Function and Gain-of-Function Mutations in KCNQ5 Cause Intellectual Disability or Epileptic Encephalopathy","Lehman A, Thouta S, Mancini GMS, Naidu S, van Slegtenhorst M, McWalter K, Person R, Mwenifumbo J, Salvarinova R; CAUSES Study; EPGEN Study, Guella I, McKenzie MB, Datta A, Connolly MB, Kalkhoran SM, Poburko D, Friedman JM, Farrer MJ, Demos M, Desai S, Claydon T.","Am J Hum Genet. 2017 Jul 6;101(1):65-74. doi: 10.1016/j.ajhg.2017.05.016. Epub 2017 Jun 29.","Lehman A","Am J Hum Genet","2017","2017/07/04","PMC5501867","","10.1016/j.ajhg.2017.05.016"
"29668857","De novo mutations of the ATP6V1A gene cause developmental encephalopathy with epilepsy","Fassio A, Esposito A, Kato M, Saitsu H, Mei D, Marini C, Conti V, Nakashima M, Okamoto N, Olmez Turker A, Albuz B, Semerci Gündüz CN, Yanagihara K, Belmonte E, Maragliano L, Ramsey K, Balak C, Siniard A, Narayanan V; C4RCD Research Group, Ohba C, Shiina M, Ogata K, Matsumoto N, Benfenati F, Guerrini R.","Brain. 2018 Jun 1;141(6):1703-1718. doi: 10.1093/brain/awy092.","Fassio A","Brain","2018","2018/04/19","PMC5972584","","10.1093/brain/awy092"
"32445790","CRISPR/dCas9-based Scn1a gene activation in inhibitory neurons ameliorates epileptic and behavioral phenotypes of Dravet syndrome model mice","Yamagata T, Raveau M, Kobayashi K, Miyamoto H, Tatsukawa T, Ogiwara I, Itohara S, Hensch TK, Yamakawa K.","Neurobiol Dis. 2020 Jul;141:104954. doi: 10.1016/j.nbd.2020.104954. Epub 2020 May 21.","Yamagata T","Neurobiol Dis","2020","2020/05/24","","","10.1016/j.nbd.2020.104954"
"25865495","Mutations in the GABA Transporter SLC6A1 Cause Epilepsy with Myoclonic-Atonic Seizures","Carvill GL, McMahon JM, Schneider A, Zemel M, Myers CT, Saykally J, Nguyen J, Robbiano A, Zara F, Specchio N, Mecarelli O, Smith RL, Leventer RJ, Møller RS, Nikanorova M, Dimova P, Jordanova A, Petrou S; EuroEPINOMICS Rare Epilepsy Syndrome Myoclonic-Astatic Epilepsy & Dravet working group, Helbig I, Striano P, Weckhuysen S, Berkovic SF, Scheffer IE, Mefford HC.","Am J Hum Genet. 2015 May 7;96(5):808-15. doi: 10.1016/j.ajhg.2015.02.016. Epub 2015 Apr 9.","Carvill GL","Am J Hum Genet","2015","2015/04/14","PMC4570550","","10.1016/j.ajhg.2015.02.016"
"33299146","De novo variants in SNAP25 cause an early-onset developmental and epileptic encephalopathy","Klöckner C, Sticht H, Zacher P, Popp B, Babcock HE, Bakker DP, Barwick K, Bonfert MV, Bönnemann CG, Brilstra EH; Care4Rare Canada Consortium, Chung WK, Clarke AJ, Devine P, Donkervoort S, Fraser JL, Friedman J, Gates A, Ghoumid J, Hobson E, Horvath G, Keller-Ramey J, Keren B, Kurian MA, Lee V, Leppig KA, Lundgren J, McDonald MT, McLaughlin HM, McTague A, Mefford HC, Mignot C, Mikati MA, Nava C, Raymond FL, Sampson JR, Sanchis-Juan A, Shashi V, Shieh JTC, Shinawi M, Slavotinek A, Stödberg T, Stong N, Sullivan JA, Taylor AC, Toler TL, van den Boogaard MJ, van der Crabben SN, van Gassen KLI, van Jaarsveld RH, Van Ziffle J, Wadley AF, Wagner M, Wigby K, Wortmann SB, Zarate YA, Møller RS, Lemke JR, Platzer K.","Genet Med. 2021 Apr;23(4):653-660. doi: 10.1038/s41436-020-01020-w. Epub 2020 Dec 10.","Klöckner C","Genet Med","2021","2020/12/10","","","10.1038/s41436-020-01020-w"
"32169168","De Novo Truncating Variants in the Last Exon of SEMA6B Cause Progressive Myoclonic Epilepsy","Hamanaka K, Imagawa E, Koshimizu E, Miyatake S, Tohyama J, Yamagata T, Miyauchi A, Ekhilevitch N, Nakamura F, Kawashima T, Goshima Y, Mohamed AR, Ch'ng GS, Fujita A, Azuma Y, Yasuda K, Imamura S, Nakashima M, Saitsu H, Mitsuhashi S, Mizuguchi T, Takata A, Miyake N, Matsumoto N.","Am J Hum Genet. 2020 Apr 2;106(4):549-558. doi: 10.1016/j.ajhg.2020.02.011. Epub 2020 Mar 12.","Hamanaka K","Am J Hum Genet","2020","2020/03/15","PMC7118575","","10.1016/j.ajhg.2020.02.011"
"33144681","NEXMIF encephalopathy: an X-linked disorder with male and female phenotypic patterns","Stamberger H, Hammer TB, Gardella E, Vlaskamp DRM, Bertelsen B, Mandelstam S, de Lange I, Zhang J, Myers CT, Fenger C, Afawi Z, Almanza Fuerte EP, Andrade DM, Balcik Y, Ben Zeev B, Bennett MF, Berkovic SF, Isidor B, Bouman A, Brilstra E, Busk ØL, Cairns A, Caumes R, Chatron N, Dale RC, de Geus C, Edery P, Gill D, Granild-Jensen JB, Gunderson L, Gunning B, Heimer G, Helle JR, Hildebrand MS, Hollingsworth G, Kharytonov V, Klee EW, Koeleman BPC, Koolen DA, Korff C, Küry S, Lesca G, Lev D, Leventer RJ, Mackay MT, Macke EL, McEntagart M, Mohammad SS, Monin P, Montomoli M, Morava E, Moutton S, Muir AM, Parrini E, Procopis P, Ranza E, Reed L, Reif PS, Rosenow F, Rossi M, Sadleir LG, Sadoway T, Schelhaas HJ, Schneider AL, Shah K, Shalev R, Sisodiya SM, Smol T, Stumpel CTRM, Stuurman K, Symonds JD, Mau-Them FT, Verbeek N, Verhoeven JS, Wallace G, Yosovich K, Zarate YA, Zerem A, Zuberi SM, Guerrini R, Mefford HC, Patel C, Zhang YH, Møller RS, Scheffer IE.","Genet Med. 2021 Feb;23(2):363-373. doi: 10.1038/s41436-020-00988-9. Epub 2020 Nov 4.","Stamberger H","Genet Med","2021","2020/11/04","","","10.1038/s41436-020-00988-9"
