PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32237035","Novel and de novo point and large microdeletion mutation in PRRT2-related epilepsy","Yang L, You C, Qiu S, Yang X, Li Y, Liu F, Zhang D, Niu Y, Xu L, Xu N, Li X, Luo F, Yang J, Li B.","Brain Behav. 2020 May;10(5):e01597. doi: 10.1002/brb3.1597. Epub 2020 Mar 31.","Yang L","Brain Behav","2020","2020/04/03","PMC7218244","","10.1002/brb3.1597"
"32538476","Focal epilepsy in SCN1A-mutation carrying patients: is there a role for epilepsy surgery?","Vezyroglou A, Varadkar S, Bast T, Hirsch E, Strobl K, Harvey AS; Epilepsy Surgery in SCN1A Study Group, Scheffer IE, Sisodiya SM, Cross JH.","Dev Med Child Neurol. 2020 Nov;62(11):1331-1335. doi: 10.1111/dmcn.14588. Epub 2020 Jun 15.","Vezyroglou A","Dev Med Child Neurol","2020","2020/06/16","","","10.1111/dmcn.14588"
"31737911","Clinical and genetic features in pyridoxine-dependent epilepsy: a Chinese cohort study","Jiao X, Xue J, Gong P, Wu Y, Zhang Y, Jiang Y, Yang Z.","Dev Med Child Neurol. 2020 Mar;62(3):315-321. doi: 10.1111/dmcn.14385. Epub 2019 Nov 18.","Jiao X","Dev Med Child Neurol","2020","2019/11/19","","","10.1111/dmcn.14385"
"32146541","Tiered analysis of whole-exome sequencing for epilepsy diagnosis","Dunn PJ, Maher BH, Albury CL, Stuart S, Sutherland HG, Maksemous N, Benton MC, Smith RA, Haupt LM, Griffiths LR.","Mol Genet Genomics. 2020 May;295(3):751-763. doi: 10.1007/s00438-020-01657-x. Epub 2020 Mar 7.","Dunn PJ","Mol Genet Genomics","2020","2020/03/09","","","10.1007/s00438-020-01657-x"
"33399642","Pathogenic variant in the PCDH19 gene in a patient with epilepsy and cognitive disability","Venegas Silva V, García Venegas E, Repetto Lisboa MG, Barroso Ramos E, Lapunzina Badia P.","Rev Chil Pediatr. 2020 Oct;91(5):761-766. doi: 10.32641/rchped.vi91i5.1490.","Venegas Silva V","Rev Chil Pediatr","2020","2021/01/05","","","10.32641/rchped.vi91i5.1490"
"33108073","SCN1A mutation spectrum in a cohort of Bulgarian patients with GEFS+ phenotype","Peycheva V, Ivanova N, Kamenarova K, Panova M, Pacheva I, Ivanov I, Bojidarova M, Tacheva G, Stamatov D, Litvinenko I, Hristova D, Deneva D, Rodopska E, Slavkova E, Aleksandrova I, Simeonov E, Dimova P, Bojinova V, Mitev V, Jordanova A, Kaneva R.","Turk J Pediatr. 2020;62(5):711-725. doi: 10.24953/turkjped.2020.05.002.","Peycheva V","Turk J Pediatr","2020","2020/10/27","","","10.24953/turkjped.2020.05.002"
"30552298","Spectrum and time course of epilepsy and the associated cognitive decline in MECP2 duplication syndrome","Marafi D, Suter B, Schultz R, Glaze D, Pavlik VN, Goldman AM.","Neurology. 2019 Jan 8;92(2):e108-e114. doi: 10.1212/WNL.0000000000006742. Epub 2018 Dec 14.","Marafi D","Neurology","2019","2018/12/16","PMC6340341","","10.1212/WNL.0000000000006742"
"32533790","Genomic testing and counseling: The contribution of next-generation sequencing to epilepsy genetics","Alsubaie L, Aloraini T, Amoudi M, Swaid A, Eyiad W, Al Mutairi F, Ababneh F, Alrifai MT, Baarmah D, Altwaijri W, Alotaibi N, Harthi A, Rumayyan A, Alanazi A, Qrimli M, Alfadhel M, Alfares A.","Ann Hum Genet. 2020 Nov;84(6):431-436. doi: 10.1111/ahg.12397. Epub 2020 Jun 13.","Alsubaie L","Ann Hum Genet","2020","2020/06/14","","","10.1111/ahg.12397"
"32564198","Novel familial IQSEC2 pathogenic sequence variant associated with neurodevelopmental disorders and epilepsy","Wayhelova M, Ryzí M, Oppelt J, Hladilkova E, Vallova V, Krskova L, Vilemova M, Polackova H, Gaillyova R, Kuglik P.","Neurogenetics. 2020 Oct;21(4):269-278. doi: 10.1007/s10048-020-00616-3. Epub 2020 Jun 20.","Wayhelova M","Neurogenetics","2020","2020/06/22","","","10.1007/s10048-020-00616-3"
"32977175","GRIA3 missense mutation is cause of an x-linked developmental and epileptic encephalopathy","Trivisano M, Santarone ME, Micalizzi A, Ferretti A, Dentici ML, Novelli A, Vigevano F, Specchio N.","Seizure. 2020 Nov;82:1-6. doi: 10.1016/j.seizure.2020.08.032. Epub 2020 Sep 22.","Trivisano M","Seizure","2020","2020/09/25","","","10.1016/j.seizure.2020.08.032"
"30014764","Epilepsy in Propionic Acidemia: Case Series of 14 Saudi Patients","AlGhamdi A, Alrifai MT, Al Hammad AI, Al Mutairi F, Alswaid A, Eyaid W, Alfadhel M.","J Child Neurol. 2018 Oct;33(11):713-717. doi: 10.1177/0883073818786157. Epub 2018 Jul 17.","AlGhamdi A","J Child Neurol","2018","2018/07/18","","","10.1177/0883073818786157"
"31765958","Mutation spectrum of the SCN1A gene in a Hungarian population with epilepsy","Till Á, Zima J, Fekete A, Bene J, Czakó M, Szabó A, Melegh B, Hadzsiev K.","Seizure. 2020 Jan;74:8-13. doi: 10.1016/j.seizure.2019.10.019. Epub 2019 Nov 8.","Till Á","Seizure","2020","2019/11/26","","","10.1016/j.seizure.2019.10.019"
"31665840","[Clinical characteristics of PCDH19-female limited epilepsy]","Chen Y, Yang XL, Liu AJ, Sun D, Yang Y, Zhang J, Chen JY, Yang ZX, Jiang YW, Wu XR, Zhang YH.","Zhonghua Er Ke Za Zhi. 2019 Nov 2;57(11):857-862. doi: 10.3760/cma.j.issn.0578-1310.2019.11.008.","Chen Y","Zhonghua Er Ke Za Zhi","2019","2019/11/01","","","10.3760/cma.j.issn.0578-1310.2019.11.008"
"33142201","The improvement in diagnosis and epilepsy managing in children with progressive myoclonus epilepsy during the last decade - A tertiary center experience in cohort of 51 patients","Kravljanac R, Vucetic Tadic B, Djordjevic M, Lalic T, Kravljanac D, Cerovic I.","Epilepsy Behav. 2020 Dec;113:107456. doi: 10.1016/j.yebeh.2020.107456. Epub 2020 Nov 2.","Kravljanac R","Epilepsy Behav","2020","2020/11/03","","","10.1016/j.yebeh.2020.107456"
"30530412","Early and long-term electroclinical features of patients with epilepsy and PCDH19 mutation","Chemaly N, Losito E, Pinard JM, Gautier A, Villeneuve N, Arbues AS, An I, Desguerre I, Dulac O, Chiron C, Kaminska A, Nabbout R.","Epileptic Disord. 2018 Dec 1;20(6):457-467. doi: 10.1684/epd.2018.1009.","Chemaly N","Epileptic Disord","2018","2018/12/12","","","10.1684/epd.2018.1009"
"30293991","Pitfalls of clinical exome and gene panel testing: alternative transcripts","Bodian DL, Kothiyal P, Hauser NS.","Genet Med. 2019 May;21(5):1240-1245. doi: 10.1038/s41436-018-0319-7. Epub 2018 Oct 8.","Bodian DL","Genet Med","2019","2018/10/09","","","10.1038/s41436-018-0319-7"
"31152295","KCNQ2 related early-onset epileptic encephalopathies in Chinese children","Fang ZX, Zhang M, Xie LL, Jiang L, Hong SQ, Li XJ, Hu Y, Chen J.","J Neurol. 2019 Sep;266(9):2224-2232. doi: 10.1007/s00415-019-09404-y. Epub 2019 May 31.","Fang ZX","J Neurol","2019","2019/06/02","","","10.1007/s00415-019-09404-y"
"31269553","[Clinical features of epilepsies associated with GABRB2 variants]","Yang Y, Zhang YH, Chen JY, Zhang J, Yang XL, Chen Y, Yang ZX, Wu XR.","Zhonghua Er Ke Za Zhi. 2019 Jul 2;57(7):532-537. doi: 10.3760/cma.j.issn.0578-1310.2019.07.008.","Yang Y","Zhonghua Er Ke Za Zhi","2019","2019/07/04","","","10.3760/cma.j.issn.0578-1310.2019.07.008"
"32924309","Novel NEXMIF gene pathogenic variant in a female patient with refractory epilepsy and intellectual disability","Wu D, Ji C, Chen Z, Wang K.","Am J Med Genet A. 2020 Nov;182(11):2765-2772. doi: 10.1002/ajmg.a.61848. Epub 2020 Sep 14.","Wu D","Am J Med Genet A","2020","2020/09/14","","","10.1002/ajmg.a.61848"
"22496201","LGI1 microdeletion in autosomal dominant lateral temporal epilepsy","Fanciulli M, Santulli L, Errichiello L, Barozzi C, Tomasi L, Rigon L, Cubeddu T, de Falco A, Rampazzo A, Michelucci R, Uzzau S, Striano S, de Falco FA, Striano P, Nobile C.","Neurology. 2012 Apr 24;78(17):1299-303. doi: 10.1212/WNL.0b013e3182518328. Epub 2012 Apr 11.","Fanciulli M","Neurology","2012","2012/04/13","PMC3335451","","10.1212/WNL.0b013e3182518328"
"24882692","Menkes disease in Korea: ATP7A mutation and epilepsy phenotype","Lee JS, Lim BC, Kim KJ, Hwang YS, Cheon JE, Kim IO, Seong MW, Park SS, Chae JH.","Brain Dev. 2015 Feb;37(2):223-9. doi: 10.1016/j.braindev.2014.04.012. Epub 2014 May 29.","Lee JS","Brain Dev","2015","2014/06/03","","","10.1016/j.braindev.2014.04.012"
"24297365","Myoclonus-dystonia and epilepsy in a family with a novel epsilon-sarcoglycan mutation","Haugarvoll K, Tzoulis C, Tran GT, Karlsen B, Engelsen BA, Knappskog PM, Bindoff LA.","J Neurol. 2014 Feb;261(2):358-62. doi: 10.1007/s00415-013-7203-9. Epub 2013 Dec 3.","Haugarvoll K","J Neurol","2014","2013/12/04","","","10.1007/s00415-013-7203-9"
"33262389","Comparative characterization of PCDH19 missense and truncating variants in PCDH19-related epilepsy","Shibata M, Ishii A, Goto A, Hirose S.","J Hum Genet. 2021 Jun;66(6):569-578. doi: 10.1038/s10038-020-00880-z. Epub 2020 Dec 2.","Shibata M","J Hum Genet","2021","2020/12/02","PMC8144015","","10.1038/s10038-020-00880-z"
"29213044","[The course and development of epilepsy in patients with typical variant of Rett syndrome and mutations]","Bobylova MY, Ivanova IV, Nekrasova IV, Pylaeva OA, Mukhin KY, Kholin AA, Iljina ES, Kulikov AV, Iljina ES, Nesterovsky YE.","Zh Nevrol Psikhiatr Im S S Korsakova. 2017;117(9. Vyp. 2):80-87. doi: 10.17116/jnevro20171179280-87.","Bobylova MY","Zh Nevrol Psikhiatr Im S S Korsakova","2017","2017/12/08","","","10.17116/jnevro20171179280-87"
"33045260","Scn1a and Cacna1a mutations mutually alter their original phenotypes in rats","Ohmori I, Kobayashi K, Ouchida M.","Neurochem Int. 2020 Dec;141:104859. doi: 10.1016/j.neuint.2020.104859. Epub 2020 Oct 10.","Ohmori I","Neurochem Int","2020","2020/10/12","","","10.1016/j.neuint.2020.104859"
"31025941","Disordered breathing in a mouse model of Dravet syndrome","Kuo FS, Cleary CM, LoTurco JJ, Chen X, Mulkey DK.","Elife. 2019 Apr 26;8:e43387. doi: 10.7554/eLife.43387.","Kuo FS","Elife","2019","2019/04/27","PMC6506208","","10.7554/eLife.43387"
"30132828","SLC6A1 variants identified in epilepsy patients reduce γ-aminobutyric acid transport","Mattison KA, Butler KM, Inglis GAS, Dayan O, Boussidan H, Bhambhani V, Philbrook B, da Silva C, Alexander JJ, Kanner BI, Escayg A.","Epilepsia. 2018 Sep;59(9):e135-e141. doi: 10.1111/epi.14531. Epub 2018 Aug 21.","Mattison KA","Epilepsia","2018","2018/08/23","","","10.1111/epi.14531"
"31942680","Clinical and Molecular Characterization of Three Novel ARHGEF9 Mutations in Patients with Developmental Delay and Epilepsy","Yao R, Zhang Y, Liu J, Wang J, Xu Y, Li N, Wang J, Yu T.","J Mol Neurosci. 2020 Jun;70(6):908-915. doi: 10.1007/s12031-019-01465-y. Epub 2020 Jan 15.","Yao R","J Mol Neurosci","2020","2020/01/17","","","10.1007/s12031-019-01465-y"
"31465153","Developmental and epileptic encephalopathy in two siblings with a novel, homozygous missense variant in SCN1B","Darras N, Ha TK, Rego S, Martin PM, Barroso E, Slavotinek AM, Cilio MR.","Am J Med Genet A. 2019 Nov;179(11):2190-2195. doi: 10.1002/ajmg.a.61344. Epub 2019 Aug 29.","Darras N","Am J Med Genet A","2019","2019/08/30","","","10.1002/ajmg.a.61344"
"27558297","Depression and genetic causal attribution of epilepsy in multiplex epilepsy families","Sorge ST, Hesdorffer DC, Phelan JC, Winawer MR, Shostak S, Goldsmith J, Chung WK, Ottman R.","Epilepsia. 2016 Oct;57(10):1643-1650. doi: 10.1111/epi.13500. Epub 2016 Aug 25.","Sorge ST","Epilepsia","2016","2016/08/26","PMC5056147","NIHMS806475","10.1111/epi.13500"
"32299744","X-Linked Familial Focal Epilepsy Associated With Xp22.31 Deletion","Myers KA, Simard-Tremblay E, Saint-Martin C.","Pediatr Neurol. 2020 Jul;108:113-116. doi: 10.1016/j.pediatrneurol.2020.02.008. Epub 2020 Apr 13.","Myers KA","Pediatr Neurol","2020","2020/04/18","","","10.1016/j.pediatrneurol.2020.02.008"
"30334225","Large De Novo Microdeletion in Epilepsy with Intellectual and Developmental Disabilities, with a Systems Biology Analysis","Gao K, Zhang Y, Zhang L, Kong W, Xie H, Wang J, Wu Y, Wu X, Liu X, Zhang Y, Zhang F, Yu AC, Jiang Y.","Adv Neurobiol. 2018;21:247-266. doi: 10.1007/978-3-319-94593-4_9.","Gao K","Adv Neurobiol","2018","2018/10/19","","","10.1007/978-3-319-94593-4_9"
"32531456","Lamotrigine induced Brugada-pattern in a patient with genetic epilepsy associated with a novel variant in SCN9A","Banfi P, Coll M, Oliva A, Alcalde M, Striano P, Mauri M, Princiotta L, Campuzano O, Versino M, Brugada R.","Gene. 2020 Sep 5;754:144847. doi: 10.1016/j.gene.2020.144847. Epub 2020 Jun 9.","Banfi P","Gene","2020","2020/06/13","","","10.1016/j.gene.2020.144847"
"30472486","A previously identified missense mutation in STYXL1 is likely benign","Hengel H, Schelling Y, Keimer R, Deigendesch W, Bauer P, Schöls L.","Eur J Med Genet. 2019 Nov;62(11):103582. doi: 10.1016/j.ejmg.2018.11.016. Epub 2018 Nov 22.","Hengel H","Eur J Med Genet","2019","2018/11/26","","","10.1016/j.ejmg.2018.11.016"
"32347641","Structural analysis of pathogenic missense mutations in GABRA2 and identification of a novel de novo variant in the desensitization gate","Sanchis-Juan A, Hasenahuer MA, Baker JA, McTague A, Barwick K, Kurian MA, Duarte ST; NIHR BioResource, Carss KJ, Thornton J, Raymond FL.","Mol Genet Genomic Med. 2020 Jul;8(7):e1106. doi: 10.1002/mgg3.1106. Epub 2020 Apr 29.","Sanchis-Juan A","Mol Genet Genomic Med","2020","2020/04/30","PMC7336760","","10.1002/mgg3.1106"
"28109652","Epilepsy in patients with GRIN2A alterations: Genetics, neurodevelopment, epileptic phenotype and response to anticonvulsive drugs","von Stülpnagel C, Ensslen M, Møller RS, Pal DK, Masnada S, Veggiotti P, Piazza E, Dreesmann M, Hartlieb T, Herberhold T, Hughes E, Koch M, Kutzer C, Hoertnagel K, Nitanda J, Pohl M, Rostásy K, Haack TB, Stöhr K, Kluger G, Borggraefe I.","Eur J Paediatr Neurol. 2017 May;21(3):530-541. doi: 10.1016/j.ejpn.2017.01.001. Epub 2017 Jan 14.","von Stülpnagel C","Eur J Paediatr Neurol","2017","2017/01/23","","","10.1016/j.ejpn.2017.01.001"
"28012175","Clinical implications of SCN1A missense and truncation variants in a large Japanese cohort with Dravet syndrome","Ishii A, Watkins JC, Chen D, Hirose S, Hammer MF.","Epilepsia. 2017 Feb;58(2):282-290. doi: 10.1111/epi.13639. Epub 2016 Dec 24.","Ishii A","Epilepsia","2017","2016/12/25","","","10.1111/epi.13639"
"30341947","Guideline-based and bioinformatic reassessment of lesion-associated gene and variant pathogenicity in focal human epilepsies","Niestroj LM, Du J, Nothnagel M, May P, Palotie A, Daly MJ, Nürnberg P, Blümcke I, Lal D.","Epilepsia. 2018 Nov;59(11):2145-2152. doi: 10.1111/epi.14579. Epub 2018 Oct 20.","Niestroj LM","Epilepsia","2018","2018/10/21","","","10.1111/epi.14579"
"20153689","EEG features and epilepsy in MECP2-mutated patients with the Zappella variant of Rett syndrome","Buoni S, Zannolli R, De Felice C, De Nicola A, Guerri V, Guerra B, Casali S, Pucci B, Corbini L, Mari F, Renieri A, Zappella M, Hayek J.","Clin Neurophysiol. 2010 May;121(5):652-7. doi: 10.1016/j.clinph.2010.01.003. Epub 2010 Feb 12.","Buoni S","Clin Neurophysiol","2010","2010/02/16","","","10.1016/j.clinph.2010.01.003"
"29930392","Clinical and genetic spectrum of a large cohort of children with epilepsy in China","Yang L, Kong Y, Dong X, Hu L, Lin Y, Chen X, Ni Q, Lu Y, Wu B, Wang H, Lu QR, Zhou W.","Genet Med. 2019 Mar;21(3):564-571. doi: 10.1038/s41436-018-0091-8. Epub 2018 Jun 21.","Yang L","Genet Med","2019","2018/06/23","PMC6681813","NIHMS1029292","10.1038/s41436-018-0091-8"
"33739676","[How and when to stop antiepileptic drugs?]","Cousyn L, Navarro V.","Rev Prat. 2020 Oct;70(8):819-823.","Cousyn L","Rev Prat","2020","2021/03/19","","",""
"33186347","Tumorous congenital calcinosis cutis associated with early childhood epileptic encephalopathy with a pathogenic FGF12 gene variant","Marín-Hernández E, Reyes-Salcedo CA, Cárdenas-Conejo A, Peregrino-Bejarano L, Reyes-Cuayahuitl A, Rayo-Mares D, Siordia-Reyes GA.","Bol Med Hosp Infant Mex. 2020;77(6):331-336. doi: 10.24875/BMHIM.20000030.","Marín-Hernández E","Bol Med Hosp Infant Mex","2020","2020/11/13","","","10.24875/BMHIM.20000030"
"30180405","[Clinical phenotypes of TBC1D24 gene related epilepsy]","Zhang J, Zhang YH, Chen JY, Zhang LP, Zeng Q, Tian XJ, Yang ZX, Wu Y, Yang XL, Wu XR.","Zhonghua Er Ke Za Zhi. 2018 Sep 2;56(9):667-673. doi: 10.3760/cma.j.issn.0578-1310.2018.09.007.","Zhang J","Zhonghua Er Ke Za Zhi","2018","2018/09/06","","","10.3760/cma.j.issn.0578-1310.2018.09.007"
"28192756","SCN1A clinical spectrum includes the self-limited focal epilepsies of childhood","Kivity S, Oliver KL, Afawi Z, Damiano JA, Arsov T, Bahlo M, Berkovic SF.","Epilepsy Res. 2017 Mar;131:9-14. doi: 10.1016/j.eplepsyres.2017.01.012. Epub 2017 Feb 4.","Kivity S","Epilepsy Res","2017","2017/02/14","","","10.1016/j.eplepsyres.2017.01.012"
"30315519","A novel homozygous mutation in SZT2 gene in Saudi family with developmental delay, macrocephaly and epilepsy","Naseer MI, Alwasiyah MK, Abdulkareem AA, Bajammal RA, Trujillo C, Abu-Elmagd M, Jafri MA, Chaudhary AG, Al-Qahtani MH.","Genes Genomics. 2018 Nov;40(11):1149-1155. doi: 10.1007/s13258-018-0673-5. Epub 2018 Feb 28.","Naseer MI","Genes Genomics","2018","2018/10/14","","","10.1007/s13258-018-0673-5"
"30392205","[Clinical characteristics and genetic features of benign infantile epilepsy with PRRT2 mutation]","Chen CH, Wu HS, Wang XH, Wang HM, Zhang S, Lyu JL, Ren XT, Fang F, Chen GH.","Zhonghua Er Ke Za Zhi. 2018 Nov 2;56(11):818-823. doi: 10.3760/cma.j.issn.0578-1310.2018.11.005.","Chen CH","Zhonghua Er Ke Za Zhi","2018","2018/11/06","","","10.3760/cma.j.issn.0578-1310.2018.11.005"
"31026061","Clinical study of 19 patients with SCN8A-related epilepsy: Two modes of onset regarding EEG and seizures","Denis J, Villeneuve N, Cacciagli P, Mignon-Ravix C, Lacoste C, Lefranc J, Napuri S, Damaj L, Villega F, Pedespan JM, Moutton S, Mignot C, Doummar D, Lion-François L, Gataullina S, Dulac O, Martin M, Gueden S, Lesca G, Julia S, Cances C, Journel H, Altuzarra C, Ben Zeev B, Afenjar A, Barth M, Villard L, Milh M.","Epilepsia. 2019 May;60(5):845-856. doi: 10.1111/epi.14727. Epub 2019 Apr 26.","Denis J","Epilepsia","2019","2019/04/27","","","10.1111/epi.14727"
"27665735","The molecular and phenotypic spectrum of IQSEC2-related epilepsy","Zerem A, Haginoya K, Lev D, Blumkin L, Kivity S, Linder I, Shoubridge C, Palmer EE, Field M, Boyle J, Chitayat D, Gaillard WD, Kossoff EH, Willems M, Geneviève D, Tran-Mau-Them F, Epstein O, Heyman E, Dugan S, Masurel-Paulet A, Piton A, Kleefstra T, Pfundt R, Sato R, Tzschach A, Matsumoto N, Saitsu H, Leshinsky-Silver E, Lerman-Sagie T.","Epilepsia. 2016 Nov;57(11):1858-1869. doi: 10.1111/epi.13560. Epub 2016 Sep 26.","Zerem A","Epilepsia","2016","2016/09/27","","","10.1111/epi.13560"
"30660939","Genetic testing in a cohort of patients with potential epilepsy with myoclonic-atonic seizures","Angione K, Eschbach K, Smith G, Joshi C, Demarest S.","Epilepsy Res. 2019 Feb;150:70-77. doi: 10.1016/j.eplepsyres.2019.01.008. Epub 2019 Jan 14.","Angione K","Epilepsy Res","2019","2019/01/21","","","10.1016/j.eplepsyres.2019.01.008"
"32692472","A novel CACNA1A variant in a child with early stroke and intractable epilepsy","Gudenkauf FJ, Azamian MS, Hunter JV, Nayak A, Lalani SR.","Mol Genet Genomic Med. 2020 Oct;8(10):e1383. doi: 10.1002/mgg3.1383. Epub 2020 Jul 21.","Gudenkauf FJ","Mol Genet Genomic Med","2020","2020/07/22","PMC7549575","","10.1002/mgg3.1383"
"31077350","Parental mosaicism in epilepsies due to alleged de novo variants","Møller RS, Liebmann N, Larsen LHG, Stiller M, Hentschel J, Kako N, Abdin D, Di Donato N, Pal DK, Zacher P, Syrbe S, Dahl HA, Lemke JR.","Epilepsia. 2019 Jun;60(6):e63-e66. doi: 10.1111/epi.15187. Epub 2019 May 11.","Møller RS","Epilepsia","2019","2019/05/12","","","10.1111/epi.15187"
"30813219","Novel SCN2A mutation in a family associated with juvenile-onset myoclonus: Case report","Huang Q, Yu L, Ma M, Qi H, Wu Y.","Medicine (Baltimore). 2019 Feb;98(8):e14698. doi: 10.1097/MD.0000000000014698.","Huang Q","Medicine (Baltimore)","2019","2019/03/01","PMC6408085","","10.1097/MD.0000000000014698"
